gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
BRCA1	ENSG00000012048.20	30	0.7799999713897705	0.27000001072883606	False
BRD2	ENSG00000204256.12	19	54.5099983215332	21.549999237060547	True
BRD3	ENSG00000169925.16	6	11.890000343322754	0.23999999463558197	False
BRD4	ENSG00000141867.17	12	14.4399995803833	10.100000381469727	True
BTRC	ENSG00000166167.17	7	6.039999961853027	1.7699999809265137	True
BUD31	ENSG00000106245.10	9	23.479999542236328	19.139999389648438	True
C14orf159	ENSG00000133943.20	35	4.829999923706055	4.25	True
C14orf79	ENSG00000140104.13	9	5.170000076293945	2.450000047683716	True
C1orf159	ENSG00000131591.17	19	4.949999809265137	3.0999999046325684	True
C21orf59	ENSG00000159079.18	8	16.510000228881836	10.199999809265137	True
CACNB1	ENSG00000067191.15	12	4.920000076293945	2.390000104904175	True
CADM3	ENSG00000162706.12	3	2.5399999618530273	1.149999976158142	True
CALCOCO2	ENSG00000136436.14	28	25.59000015258789	15.6899995803833	True
CAMK2D	ENSG00000145349.16	14	9.300000190734863	4.309999942779541	True
CAND1	ENSG00000111530.12	8	14.430000305175781	4.820000171661377	True
CARD8	ENSG00000105483.17	30	3.609999895095825	2.8499999046325684	True
CAST	ENSG00000153113.23	44	28.510000228881836	9.479999542236328	True
CCAR1	ENSG00000060339.13	18	16.920000076293945	12.5	True
CCDC14	ENSG00000175455.14	22	12.569999694824219	7.46999979019165	True
CCDC28B	ENSG00000160050.14	5	2.880000114440918	2.509999990463257	True
CCDC62	ENSG00000130783.13	6	0.03999999910593033	0.0	False
CCDC92	ENSG00000119242.8	9	26.18000030517578	3.869999885559082	True
CCND1	ENSG00000110092.3	6	41.95000076293945	1.090000033378601	True
CCNG1	ENSG00000113328.18	13	37.060001373291016	28.790000915527344	True
CCSER2	ENSG00000107771.15	10	6.239999771118164	3.4600000381469727	True
CD164	ENSG00000135535.15	10	44.31999969482422	26.540000915527344	True
CD44	ENSG00000026508.17	39	41.33000183105469	9.010000228881836	True
CD82	ENSG00000085117.11	14	18.389999389648438	5.110000133514404	True
CDC42BPA	ENSG00000143776.18	13	10.289999961853027	1.5499999523162842	True
CDCA7	ENSG00000144354.13	8	1.600000023841858	0.7400000095367432	False
CDH1	ENSG00000039068.18	14	19.940000534057617	18.15999984741211	True
CDH3	ENSG00000062038.13	10	8.130000114440918	5.96999979019165	True
CDK20	ENSG00000156345.17	10	2.6500000953674316	2.5899999141693115	True
CDKN3	ENSG00000100526.19	12	0.4099999964237213	0.4000000059604645	False
